taxa,count
Nabis_spp_,1
Toxomerus_marginatus,1
Epistrophe_spp,1
Araneae,5
Araneae,2
Araneae,2
Opilliones,1
Opilliones,2
Opilliones,1
Halictidae,4
Halictidae,1
Cantharidae_unknown,2
Cicindellidae,1
Staphylinidae,1
Coenosia_spp,1
Coenosia_spp,1
Sciomyzidae,1
Panorpa,3
Cotesia_spp,1
Cotesia_spp,3
Cotesia_spp,1
Eulophidae_unknown,6
Eulophidae_unknown,2
Eurytomidae_unknown,1
Eurytomid_A052,1
Eurytomid_A053,15
Tetramesa_elongata,2
Eurytoma,2
Pteromalidae_unknown,4
Figitinae,1
Eucoilinae,1
Eucoilinae,1
Scelionidae,1
Braconidae_unknown,1
Braconidae_unknown,4
