Site,watershed
BW1,Basswood1
BW2,Basswood2
BW3,Basswood3
BW4,Basswood4
BW5,Basswood5
BW6,Basswood6
IW1,Interim1
IW2,Interim2
IW3,Interim3
OW1,Orbweaver1
OW2,Orbweaver2
OW3,Orbweaver3
